title,subject,headline,description,location,address,city,state,zipecode,rssrtype,dates1,item.date,destructdate,renovationdate,dateaprox,orginarc,photo,rights,eventtype,latitude,longitude,objectid,coordinates_accuracy
St. Mary Chapel Building,,,,South,1831-1835 Bainbridge St.,Philadelphia,PA,19146,church,"1897, Hazlehurst & Huckel",1897,0,0,TRUE,Hazlehurst & Huckel,,,,39.942257,-75.161512,dreamlab97,doubt
Varick Memorial Church Site,,,,South,763 S. 19th St.,Philadelphia,PA,19146,church,"1889, Hazlehurst & Huckel",1889,0,0,FALSE,Hazlehurst & Huckel,,,,39.942029,-75.173852,dreamlab98,success
Friendship Baptist Church / 18th Street Baptist Church / 18th Street Methodist Episcopal Church,,,,South,1730 Wharton St.,Philadelphia,PA,19146,church,"1885-1888, J. Franklin Stuckert",1885,0,0,FALSE,J. Franklin Stuckert,,,,39.934777,-75.173805,dreamlab99,success
Church of the Crucifixion Building and Parish House,,,,South,620 S. 8th St.,Philadelphia,PA,19147,church,"1883, Pursell & Fry; 1902, Isaac Pursell and Duhring, Okie & Ziegler",1883,0,1902,FALSE,Pursell & Fry,https://www.preservationalliance.com/images/aia/620S8thSt.jpg,Preservation Alliance for Greater Philadelphia,,39.932037,-75.157756,dreamlab100,doubt
Tasker Street Baptist Church / Metropolitan Baptist Church,,,,South,2010 Tasker St.,Philadelphia,PA,19145,church,"ca. 1900, S. Bythewood; alterations, 1928 and 1940, Richard R. Neely",1900,0,1928;1940,FALSE,S. Bythewood,,,,39.930982,-75.172246,dreamlab101,doubt
First African Presbyterian Church / Tabor Chapel / St. Paul's German Reform Church / First Colored Wesley Methodist Church,,,,South,1642 Fitzwater St.,Philadelphia,PA,19146,church,"1857, Samuel Sloan",1857,0,0,FALSE,Samuel Sloan,https://www.preservationalliance.com/images/aia/1642FitzwaterSt.jpg,Preservation Alliance for Greater Philadelphia,,39.942237,-75.170639,dreamlab102,success
Union Baptist Building #1 / New Hope Temple Baptist Church,,,,South,711-715 S. 12th St.,Philadelphia,PA,19147,church,"1893, Thomas Bennett",1893,0,0,TRUE,Thomas Bennett,https://www.preservationalliance.com/images/aia/711-15S12thStb.jpg,Preservation Alliance for Greater Philadelphia,,39.932836,-75.164046,dreamlab103,doubt
Moyamensing Prison,,,American prison where the imprisonment of abolitionist Passmore Williamson created a stir around 1855.,South,10th and Reed Sts.,Philadelphia,PA,19147,prison,"ca. 1832-1835, Thomas Ustick Walter; many alterations; demolished 1968",1832,1968,9,TRUE,Thomas Ustick Walter,,,,39.990821,-75.168428,dreamlab104,doubt
St. Simon the Cyrenian Church and Rectory,,,,South,1401 S. 22nd St.,Philadelphia,PA,19146,church,"1905 (rectory), 1913-1914, Thomas, Churchman & Molitor",1905,0,1913-1914,FALSE,"Thomas, Churchman & Molitor",,,,39.934379,-75.180644,dreamlab105,success
First Penny Savings and Loan,,,,South,2052 Bainbridge St.,Philadelphia,PA,19146,bank,"ca. 1914, W. Haddock",1914,0,0,FALSE,W. Haddock,,,,39.942257,-75.161512,dreamlab106,doubt
First African Baptist Church Building,,,,South,1600-1606 Christian St.,Philadelphia,PA,19146,church,"1904, Watson & Huckel",1904,0,0,TRUE,Watson & Huckel,,,,39.939942,-75.165555,dreamlab107,doubt
Shiloh Baptist Church #1 / Murray Chapel / Mount Olive A.M.E. Church / Waters Memorial A.M.E. Church,,,,South,609 S. Clifton St.,Philadelphia,PA,19147,church,"ca. 1840; alterations, 1895, Wilson Brothers; alterations, 1921, C. Wilson; alterations, 1953",1840,0,1895;1921,FALSE,Wilson Brothers,https://www.preservationalliance.com/images/aia/609SCliftonSt.jpg,Preservation Alliance for Greater Philadelphia,,39.942645,-75.159714,dreamlab108,success
Dutrieuille Catering Site #2,,,,West,4001 Spring Garden St.,Philadelphia,PA,19104,caterer,"ca. 1888, A. Wade",1888,0,0,FALSE,A. Wade,,,,39.961839,-75.202415,dreamlab109,success
First African Presbyterian Church / Emmanuel Presbyterian Church,,,,West,4159 W. Girard Ave.,Philadelphia,PA,19104,church,"1912, Charles Bolton & Son",1912,0,0,FALSE,Charles Bolton & Son,,,,39.973946,-75.209674,dreamlab110,success
St. Matthew Church Building,,,,West,215 N. 57th St.,Philadelphia,PA,19139,church,"1940, Charles Bolton & Son",1940,0,0,FALSE,Charles Bolton & Son,,,,39.964697,-75.233722,dreamlab111,success
Bethel Baptist Church,,,,West,4033-4037 Haverford Ave.,Philadelphia,PA,19104,church,"1924, Clarence Caspary",1924,0,0,TRUE,Clarence Caspary,,,,39.968301,-75.23486,dreamlab112,doubt
Franklin Field,entertainment,entertainment,,West,33rd and Spruce Streets,Philadelphia,PA,19104,stadium,"1922, Day & Klauder",1922,0,0,TRUE,Day & Klauder,,,,39.990821,-75.168428,dreamlab113,doubt
St. Monica Mission Church Site,,,,West,4206 Woodland Ave.,Philadelphia,PA,19104,church,"1914-1916, Duhring, Okie and Ziegler",1914,0,0,FALSE,"Duhring, Okie and Ziegler",,,,39.949464,-75.199983,dreamlab114,doubt
Paul Leroy Robeson House,entertainment,entertainment,"Recognized as a historical landmark in 1991; the house where actor and activist Paul Robeson was cared for by his sister, Marian R. Forsythe; during the last years of his life",West,4951 Walnut St.,Philadelphia,PA,19139,dwelling,"1911, E.A. Wilson; alterations, ca. 1959",1911,0,1959,FALSE,E.A. Wilson,,,,39.956688,-75.221373,dreamlab115,success
African Episcopal Church of St. Thomas Site #3,,,,West,6361 Lancaster Ave.,Philadelphia,PA,19151,church,"1899, Frederick Mann; alterations, 1905, Baily & Bassett",1899,0,1905,FALSE,Frederick Mann,,,,39.987312,-75.251068,dreamlab116,success
Allen A.M.E. Church Building #3 / Fourth Reformed Presbyterian Church Building,,,,West,5901 Larchwood Ave.,Philadelphia,PA,19143,church,"1917, George D. Savage",1917,0,0,FALSE,George D. Savage,,,,39.954,-75.240659,dreamlab117,success
Mount Pisgah A.M.E. Church / Centenary Methodist Church,,,,West,428 N. 41st St.,Philadelphia,PA,19104,church,"ca. 1860s-1880s; alterations, 1901, H. King; alterations, 1913, James Fernald; rebuilt after fire, 1944",1860,0,1901;1913;1944,FALSE,H. King,,,,39.976197,-75.206385,dreamlab118,doubt
Mount Carmel Baptist Church,,,,West,5732 Race St.,Philadelphia,PA,19139,church,"1915, Henry DeHoff; alterations, 1938, Charles Bolton & Sons; main sanctuary, post-World War II",1915,0,1938,FALSE,Henry DeHoff,,,,39.964312,-75.235491,dreamlab119,success
Clanerda Presbyterian Church,,,,West,34th and Girard Sts.,Philadelphia,PA,19104,church,"ca. 1912, Horace Trumbauer (Julian Abele)",1912,0,0,TRUE,Horace Trumbauer (Julian Abele),,,,39.990821,-75.168428,dreamlab120,doubt
Irvine Auditorium (University of Pennsylvania),entertainment,entertainment,,West,3401 Spruce St.,Philadelphia,PA,19104,auditorium,"ca. 1928, Horace Trumbauer (Julian Abele)",1928,0,0,FALSE,Horace Trumbauer (Julian Abele),,,,39.950877,-75.19301,dreamlab121,success
Otto Eisenlohr House / President's House (University of Pennsylvania),academia;intelligencia,academia;intelligencia,,West,3812 Walnut St.,Philadelphia,PA,19104,dwelling,"ca. 1905, Horace Trumbauer (Julian Abele)",1905,0,0,FALSE,Horace Trumbauer (Julian Abele),,,,39.949649,-75.16673,dreamlab122,doubt
Zoological Society Building,,,,West,34th and Girard Sts.,Philadelphia,PA,19104,,"ca. 1912, Horace Trumbauer (Julian Abele)",1912,0,0,TRUE,Horace Trumbauer (Julian Abele),,,,39.990821,-75.168428,dreamlab123,doubt
Stephen Smith Home for the Aged and Infirmed,,,,West,4400 W. Girard Ave.,Philadelphia,PA,19104,retirement home,"ca. 1883, Hutton, Addison",1883,0,0,FALSE,"Hutton, Addison",,,,39.972816,-75.212586,dreamlab124,success
Overbrook High School (Wilt Chamberlain),academia;intelligencia,academia;intelligencia,,West,5898 Lancaster Ave.,Philadelphia,PA,19131,school,"1924, Irwin T. Catherine",1924,0,0,FALSE,Irwin T. Catherine,,,,39.974485,-75.220917,dreamlab125,doubt
Star of Hope Baptist Church,,,,West,443 N. 60th St.,Philadelphia,PA,19151,church,"ca. 1962, James Plater",1962,0,0,FALSE,James Plater,,,,39.969076,-75.239025,dreamlab126,success
Tyree A.M.E. Church / 10th United Presbyterian Church,,,,West,3800 Hamilton St.,Philadelphia,PA,19104,church,"1886, Lawrence Valk",1886,0,0,FALSE,Lawrence Valk,,,,39.961293,-75.19721,dreamlab127,success
Pinn Memorial Baptist Church / Har Zion Synagogue,,,,West,2251 N. 54th St.,Philadelphia,PA,19131,church,"1922-1924, Leroy Rothschild; alterations and additions, 1940-1957, Silverman & Levey",1922,0,1940-1957,FALSE,Leroy Rothschild,,,,39.993335,-75.233854,dreamlab128,doubt
Lombard Central Presbyterian Church Building #2 / Friends Meeting House,,,,West,4201 Powelton Ave.,Philadelphia,PA,19104,church,"ca. 1875; alterations, 1903, Morris & Vaux",1875,0,0,FALSE,Morris & Vaux,,,,39.959156,-75.206639,dreamlab129,success
Tyree A.M.E. Church (?) / Williams Chapel / Metropolitan Baptist Church / First United Baptist Church,,,,West,3728-3730 Haverford Ave.,Philadelphia,PA,19104,church,"before 1922; alterations as church, 1937, Richard Neely",1922,0,1903,TRUE,Richard Neely,,,,39.968301,-75.23486,dreamlab130,doubt
Monumental Baptist Church / First Reformed Church,,,,West,4948 Locust St.,Philadelphia,PA,19139,church,"1923-1925, Stuckert & Co.",1923,0,0,FALSE,Stuckert & Co.,,,,39.955048,-75.221354,dreamlab131,success
"United Mission Church / Pennsylvania Railroad Branch, YMCA / Second Antioch Baptist Church",,,,West,907 N. 41st St.,Philadelphia,PA,19104,church,"1892, T. P. Lonsdale",1892,0,0,FALSE,T. P. Lonsdale,,,,39.976197,-75.206385,dreamlab132,doubt
White Rock Baptist Church / St. Matthew M.E. Church,,,,West,5240-5244 Chestnut St.,Philadelphia,PA,19139,church,"original church building, 1889-1890, T. P. Lonsdale; parish house, 1899, T. P. Lonsdale; substantial chapel addition, 1908, Wesl",1889,0,1899;1908,TRUE,T. P. Lonsdale,,,,39.957881,-75.220335,dreamlab133,doubt
St. Michael and All Angels Chapel / Bethany Baptist Church / Victory Baptist Church,,,,West,4238 Wallace St.,Philadelphia,PA,19104,church,"1889, William Camac, project architect, in firm of Furness, Evans & Co.; alterations, 1920, John E. Bullock",1889,0,1920,1902,"Furness, Evans & Co.(William Camac)",,,,39.963341,-75.20862,dreamlab134,success
Temple 12 (Site #3) / Makkah Masjid,,,"Built in 1902, Malcolm X moved the Nation of Islam Temple #12 there in 1962 (from it's old location at 4218 Lancaster Ave.). It is currently Makkah Masjid. More info: https://hiddencityphila.org/2017/01/peeling-back-the-layers-on-malcolm-xs-mosque-12/",North,1319-21 West Susquehanna Ave.,Philadelphia,PA,19122,mosque,1902,,,FALSE,TRUE,,,,Building,,,dreamlab135,
Temple 12 (Site #2),,,The second location of Temple 12 during the late 1950s and until 1962.,West,4218 Lancaster Ave.,Philadelphia,PA,,mosque,,,,,FALSE,,,,Building,,,dreamlab136,
Temple 12 (Site #1),,,"The first location of Temple 12 in Philadelphia, and currently home of the Holy Ghose Crusade Church",North,1643 North Bailey St.,Philadelphia,PA,,mosque,,,,,FALSE,,,,Building,,,dreamlab137,
Mosque 12 (Site #4),,,The current location of Mosque 12.,North,2508 N Broad St,Philadelphia,PA,,mosque,,,,,FALSE,,,,Building,,,dreamlab138,
Sister Clara Muhammad School / The Philadelphia Masjid,,,"Formerly a Sister Clara Muhammad School (the primary schools of the Nation of Islam), which closed in 2005, that is currently the Philadelphia Masjid.",West,4700 Wyalusing Ave,Philadelphia,PA,,mosque,,,,,FALSE,,,,Building,,,dreamlab139,
Hakim's Bookshop ,entertainment,entertainment,,West,210 S. 52nd Street,,PA,,,,,,,,,,,,,,,
The Standard Theatre ,entertainment,entertainment,,South,11th Block of South Street,Philadelphia,PA,,theatre,,,1957,,,,,,,,,,
Hotel Powelton,,,,, 20-24 N. 40th Street,,,,,,,,,,,,,,,,,
